kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
1267,Höör,Skåne län,212000-1116,http://www.hoor.se,,7,high,2026-05-17,
1270,Tomelilla,Skåne län,212000-0886,http://www.tomelilla.se,,1,medium,2026-05-17,
1272,Bromölla,Skåne län,212000-0894,https://www.bromolla.se/,,4,high,2026-05-17,
1273,Osby,Skåne län,212000-0902,http://www.osby.se,,7,high,2026-05-17,
1275,Perstorp,Skåne län,212000-0910,http://www.perstorp.se,,1,medium,2026-05-17,
1276,Klippan,Skåne län,212000-0928,http://www.klippan.se,,1,medium,2026-05-17,
1277,Åstorp,Skåne län,212000-0936,http://www.astorp.se,,1,medium,2026-05-17,
1278,Båstad,Skåne län,212000-0944,http://www.bastad.se,,2,medium,2026-05-17,
1280,Malmö,Skåne län,212000-1124,http://www.malmo.se,,1,medium,2026-05-17,
1281,Lund,Skåne län,212000-1132,https://www.lund.se,,3,medium,2026-05-17,
1282,Landskrona,Skåne län,212000-1140,http://www.landskrona.se,,1,medium,2026-05-17,
1283,Helsingborg,Skåne län,212000-1157,http://www.helsingborg.se,,1,medium,2026-05-17,
1284,Höganäs,Skåne län,212000-1165,http://www.hoganas.se,,2,medium,2026-05-17,
1285,Eslöv,Skåne län,212000-1173,http://www.eslov.se,,1,medium,2026-05-17,
1286,Ystad,Skåne län,212000-1181,https://www.ystad.se/,,1,medium,2026-05-17,
1287,Trelleborg,Skåne län,212000-1199,http://www.trelleborg.se,,2,medium,2026-05-17,
1290,Kristianstad,Skåne län,212000-0951,http://www.kristianstad.se,,3,high,2026-05-17,
1291,Simrishamn,Skåne län,212000-0969,http://www.simrishamn.se,,5,medium,2026-05-17,
1292,Ängelholm,Skåne län,212000-0977,http://www.angelholm.se,,0,low,2026-05-17,
1293,Hässleholm,Skåne län,212000-0985,http://www.hassleholm.se,,6,high,2026-05-17,
1315,Hylte,Hallands län,212000-1207,http://www.hylte.se,,3,medium,2026-05-17,
1380,Halmstad,Hallands län,212000-1215,http://www.halmstad.se,,1,low,2026-05-17,
1381,Laholm,Hallands län,212000-1223,http://www.laholm.se,,9,high,2026-05-17,
1382,Falkenberg,Hallands län,212000-1231,https://kommun.falkenberg.se/,,0,low,2026-05-17,
1383,Varberg,Hallands län,212000-1249,https://www.varberg.se,,0,low,2026-05-17,
1384,Kungsbacka,Hallands län,212000-1256,http://www.kungsbacka.se,,2,medium,2026-05-17,
1401,Härryda,Västra Götalands län,212000-1264,http://www.harryda.se,,4,high,2026-05-17,
1402,Partille,Västra Götalands län,212000-1272,http://www.partille.se,,0,low,2026-05-17,
1407,Öckerö,Västra Götalands län,212000-1280,http://www.ockero.se,,1,medium,2026-05-17,
1415,Stenungsund,Västra Götalands län,212000-1298,https://www.stenungsund.se/,,1,medium,2026-05-17,
1419,Tjörn,Västra Götalands län,212000-1306,https://tjorn.se,,2,high,2026-05-17,
1421,Orust,Västra Götalands län,212000-1314,http://www.orust.se,,1,medium,2026-05-17,
1427,Sotenäs,Västra Götalands län,212000-1322,http://www.sotenas.se,,2,medium,2026-05-17,
1430,Munkedal,Västra Götalands län,212000-1330,http://www.munkedal.se,,3,medium,2026-05-17,
1435,Tanum,Västra Götalands län,212000-1348,https://www.tanum.se,,8,medium,2026-05-17,
1438,Dals-Ed,Västra Götalands län,212000-1413,http://www.dalsed.se,,6,high,2026-05-17,
1439,Färgelanda,Västra Götalands län,212000-1421,http://www.fargelanda.se,,2,medium,2026-05-17,
1440,Ale,Västra Götalands län,212000-1439,http://www.ale.se,,3,medium,2026-05-16,
1441,Lerum,Västra Götalands län,212000-1447,http://www.lerum.se,,2,medium,2026-05-17,
1442,Vårgårda,Västra Götalands län,212000-1454,https://www.vargarda.se/,,1,medium,2026-05-17,
1443,Bollebygd,Västra Götalands län,212000-2973,https://www.bollebygd.se/,,2,medium,2026-05-16,
1444,Grästorp,Västra Götalands län,212000-1595,http://www.grastorp.se,,3,medium,2026-05-17,
1445,Essunga,Västra Götalands län,212000-2916,http://www.essunga.se,,1,medium,2026-05-17,
